Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Practice Exam 2 for CompTIA Security+ (SY0-701),"<p>This practice exam is intended to help you prepare for the <b>CompTIA Security+ (SY0-701)</b> certification exam. After you launch the practice exam, there are three practice modes available: timed, untimed, or custom. Each mode allows unlimited attempts, explanations for correct and incorrect answers, and detailed exam results. The number and types of questions on the practice exam and the duration of the timed practice exam is intended to be representative of the certification exam.</p>
<p><b>Want more practice?</b> Additional practice exams for this certification are available and each has a unique question set for continued preparation.</p>
<ul>
<li><a href=""https://www.linkedin.com/learning/practice-exam-1-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank""> Practice Exam 1 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-3-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 3 for CompTIA Security+ (SY0-701)</a></li>
<li><a href=""https://www.linkedin.com/learning/practice-exam-4-for-comptia-security-plus-sy0-701/about-the-practice-exam?u=104"" target=""_blank"">Practice Exam 4 for CompTIA Security+ (SY0-701)</a></li>
<ul>
<p><b>About the certification</b>: To learn more about this certification, visit <b><a href=""https://www.comptia.org/certifications/security#examdetail"" target=""_blank"">CompTIA.</a></b></p>
<p>The practice exam questions provided are representative of the certification exam, but not the actual questions you will see on the certification exam. Practice exams are for self assessment. Passing this practice exam does not guarantee that you will pass the actual certification exam.</p>",Course,N/A,N/A,true,N/A,
AWS Certified Cloud Practitioner (CLF-C02) Cert Prep: 1 Cloud Concepts,"Amazon Web Services (AWS)—and cloud computing in general—can be difficult for people without technical backgrounds to decipher. This introductory course is a bridge between non-engineers and the cloud. It is the first in a four-part series designed to help professionals in non-technical roles, and maps to the first domain of the AWS Certified Cloud Practitioner CLF-C02 exam. Instructor Hiroko Nishimura—founder of Intro to AWS for Newbies—provides a brief history of cloud computing, an overview of cloud deployment models, and a summary of cloud design principles. She then shows how to create an account and start using the AWS Free Tier to gain hands-on experience with AWS products and services. Plus, get exam tips and learn about resources for professionals studying for the AWS Certified Cloud Practitioner exam.",Course,2025-02-06 12:55 UTC,2025-02-06 12:55 UTC,true,N/A,
Cloud Architecture: Design Decisions,"In this course, David Linthicum—an internationally known enterprise technology thought leader and influencer—explores the essential components of cloud computing architecture. Learn how to make informed design decisions that optimize cloud storage, compute resources, databases, and security across various cloud service providers. Build your understanding of performance operations, security operations, and governance principles. Explore advanced topics such as containerization, serverless computing, edge computing, and AI integration to enhance your cloud solutions. Learn about financial operations and cost management to maximize cloud investments. When you complete this course, you can create robust cloud architectures that deliver business value and stay cost-efficient. Stay ahead of the competition by mastering modern cloud technologies and optimizing your cloud environments for long-term success.",Course,2025-02-15 09:03 UTC,N/A,false,N/A,
Writing in Plain English,"Plain English—writing that is clear and straightforward; targeted at the appropriate reading level; and free of jargon, wordiness, and clichés—is the standard for government communication in the US and is favored by many corporations. In this course, Mignon Fogarty shows you how to use plain language tools to become a better communicator. Mignon starts with a look at how to organize information and define your audience to meet your plain English goals. She then gets into more specifics of plain language writing, like how to choose the best words and sentence structures. Lastly, Mignon shows how you can use artificial intelligence tools to make writing in plain language faster and easier than ever before. Join Mignon to find out how you can use proven techniques to make your writing clear, effective, and even more impressive to your readers.",Course,2024-06-26 12:41 UTC,N/A,false,N/A,
CompTIA Cybersecurity Analyst+ (CySA+) (CS0-003) Cert Prep: 1 Security Operations,"<p>As cybersecurity threats become more sophisticated and pervasive, the need for IT professionals with security analytics expertise has grown exponentially. Earning the CompTIA Cybersecurity Analyst (CySA+) certification shows potential employers that you understand how to tackle cybersecurity threats using a behavioral analytics-based approach. In this course—the first installment in the CompTIA Cybersecurity Analyst+ CySA+ (CS0-003) certification prep series, instructor Mike Chapple covers the topics covered in the Security Operations domain of the exam. Mike details topics concerning operating system security, logging, key infrastructure concepts, network security, identity and access management, and encryption.</p>

<p>LinkedIn Learning is a CompTIA Partner. As such, we are able to offer CompTIA exam vouchers at a 10% discount. For more information on how to obtain this discount, please download <a href=""https://media.licdn.com/media/AAYAAQCwAAoAAQAAAAAAAG3CMmCLXtxNTomv6EtKgcNb7Q.pdf"" target=""_blank"">these PDF instructions</a>.</p>",Course,2024-05-07 11:39 UTC,N/A,true,N/A,
Nano Tips for Working Inclusively with Neurodivergent Employees with Ellie Middleton,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore practical strategies to promote diversity, equity, and inclusion in the workplace and collaborate more effectively with neurodivergent employees.</p><p>Join autistic and ADHD writer, creator, and consultant Ellie Middleton to learn how employers and managers can create a more inclusive, neurodivergent-friendly workplace. Learn the secrets of inclusive instructional design and how to provide neurodivergent employees with additional clarity about time and expectations. Discover the power of saying what you mean, communicating more precisely, avoiding ableist language, and creating a sensory-friendly work environment. Along the way Ellie shares insights drawn from experience to help you continue learning, listen actively, engage in the conversation, and support neurodiversity in the workplace.</p>",Course,2025-03-11 09:27 UTC,N/A,false,N/A,
Red Team Operator Series,"<p>If you want to assess the viability of your security protocols, building a red team can be a smart move. Red teams let you simulate cyber attacks with the same tools and methods used by cybercriminals in the real world. This course, designed by industry-leading cybersecurity professional development platform Cybrary, covers key program-level perspectives and core skills required to run both small and large red teams across an organization. Tasked with overcoming common challenges such as timelines and budgeting constraints, learn how to conduct research, identify vulnerabilities, and perform attacks on your organization’s security system to test its strength and expose its hidden weaknesses. This course is ideal for cybersecurity professionals who direct internal red teams as well as for security consultants, red team members, and ethical hackers.</p><p>Note: This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-02-06 15:01 UTC,N/A,false,N/A,
Cybersecurity with Cloud Computing,"More and more companies are migrating their applications and infrastructure to the cloud, shifting operational aspects to service providers such as Microsoft and Amazon. However, cloud computing is a shared responsibility, especially when it comes to keeping your data, users, and systems safe. In this course, Malcolm Shore outlines the major forms of cloud technology, its benefits and risks, and the cybersecurity standards and body of knowledge required to mitigate those risks. He introduces concepts such as software as a service (SaaS), platform as a service (PaaS), and infrastructure as a service (IaaS) and the different deployment models available. He then reviews offerings from Microsoft Azure, Amazon Web Services, and Google Apps. Malcolm also shows the Security as a Service (SecaaS) capability of each platform, which can be used to identify unauthorized access and put cloud security defenses like encryption, logging, and monitoring into place.",Course,N/A,N/A,true,N/A,
Cybersecurity Foundations: Security Architecture,"You can optimize your cybersecurity architecture if you understand the core functions and deployment scenarios. In this course, cybersecurity strategist Pete Lindstrom provides a “building blocks” approach to enterprise security architecture, defining its components and functions in a rational, cohesive way that can be leveraged throughout an enterprise to incorporate all of its digital use cases across all of its data centers, clouds, and networks.",Course,2025-02-17 13:11 UTC,N/A,true,N/A,
Detection and Response with XDR: Integrated Security Solutions to Combat Emerging Threats,"Modern security operations face a rapidly evolving threat landscape, making it difficult to gain complete visibility across an array of disparate security tools. Extended detection and response, also known as XDR, can help to bridge that gap by centralizing telemetry, intelligence, and response capabilities from a variety of sources into a single security platform. In this course, join instructors Matt Vander Horst, Steven McNutt, and Katherine McNamara as they explore why XDR is such a game-changer for reducing your detection and response times and optimizing your overall security operations. Along the way, discover practical strategies for implementing XDR within your organization. An ideal fit for cybersecurity professionals, regardless of your technical background or level of experience, this course is designed to equip you with the skills you need to successfully design, implement, and automate threat responses using cutting-edge XDR technology.",Course,2025-02-06 15:01 UTC,N/A,true,N/A,
The Cybersecurity Threat Landscape,"<p>As tech systems continue to grow in complexity, cybersecurity threats are becoming increasingly more effective and damaging. News headlines regularly announce enormous data breaches and sophisticated hacks. How are these attackers getting in, and what actions can you take to protect against them? In this course, Marc Menninger describes some of the most common cybersecurity threats, including phishing and ransomware, deepfakes, unmanaged Internet of Things (IoT) devices, business email compromise, and more. He then teaches the best countermeasures for reducing or eliminating the impact of these threats.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-cybersecurity-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-02-16 20:55 UTC,2025-02-16 20:53 UTC,true,N/A,
"Cybersecurity Foundations: Governance, Risk, and Compliance (GRC) (2023)","<p>Even as protection against cyber threats becomes increasingly more critical, millions of cybersecurity positions continue to remain unfilled. If you’re interested in landing a role in this booming industry—but aren’t currently in a technical field—consider using governance, risk, and compliance (GRC) as your entry point.<p>
<p>GRC, <a href=""https://www.oceg.org/ideas/what-is-grc/"" target=""_blank"">as defined by OCEG</a>, involves using a set of integrated capabilities to collaborate with stakeholders across an organization in order to  "". . . achieve objectives, address uncertainty, and act with integrity.” In this course, AJ Yawn draws upon his 10+ years in the GRC industry to illuminate the fundamental skills and best practices of GRC, so you can determine if it’s a fit for you.</p>",Course,2025-02-14 15:11 UTC,2025-02-14 14:15 UTC,true,N/A,
Excel Supply Chain Analysis: Managing Simulations Using VBA,"<p>Did you know you can record and run Solver macros, generate random inputs, run multiple simulations, and more, in Excel? Moreover, you can do all this without buying expensive specialty software. In this course, instructor Curt Frye shows how to enhance your supply chain analysis using the Solver add-in in combination with VBA. Working from an example transportation problem, Curt steps through creating a reference to the Solver VBA library, recording and running a Solver macro, generating random inputs, and defining a loop structure to run multiple simulations. Then he moves on to enabling detailed analysis by writing model output, creating a results dashboard to analyze your model output, exploring alternative scenarios with a Solver model, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/cscmp-supply-chain-foundations-transportation-professional-certificate?u=104"" target=""_blank"">Professional Certificate</a> from CSCMP.</p>",Course,2024-06-17 21:23 UTC,N/A,false,N/A,
